"year"|"categ"|"year.1"
"1934 (7th)"|"SHORT SUBJECT (Novelty)"|"City of Wax --  Stacy Woodard and Horace Woodard, Producers"
"1934 (7th)"|"SOUND RECORDING"|"One Night of Love --  Columbia Studio Sound Department, John Livadary, Sound Director"
"1934 (7th)"|"WRITING (Adaptation)"|"It Happened One Night  -- Robert Riskin"
"1934 (7th)"|"WRITING (Original Story)"|"Manhattan Melodrama  -- Arthur Caesar"
"1934 (7th)"|"SPECIAL AWARD"|"To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
"1934 (7th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording). [Sound]"
"1934 (7th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love. [Sound]"
"1934 (7th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer. [Laboratory]"
"1935 (8th)"|"ACTOR"|"Victor McLaglen -- The Informer  {\"Gypo Nolan\"}"
"1935 (8th)"|"ACTRESS"|"Bette Davis -- Dangerous  {\"Joyce Heath\"}"
"1935 (8th)"|"ART DIRECTION"|"The Dark Angel  -- Richard Day"
"1935 (8th)"|"ASSISTANT DIRECTOR"|"The Lives of a Bengal Lancer  -- Clem Beauchamp, Paul Wing"
"1935 (8th)"|"DANCE DIRECTION"|"Dave Gould -- \"I've Got a Feeling You're Fooling\" number from Broadway Melody of 1936; and \"Straw Hat\" number from Folies Bergere"
"1935 (8th)"|"DIRECTING"|"The Informer  -- John Ford"
"1935 (8th)"|"MUSIC (Scoring)"|"The Informer --  RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner)"
"1935 (8th)"|"MUSIC (Song)"|"\"Lullaby Of Broadway\" from Gold Diggers of 1935  -- Music by Harry Warren; Lyrics by Al Dubin"
"1935 (8th)"|"OUTSTANDING PRODUCTION"|"Mutiny on the Bounty  -- Metro-Goldwyn-Mayer"
"1935 (8th)"|"SHORT SUBJECT (Cartoon)"|"Three Orphan Kittens --  Walt Disney, Producer"
"1935 (8th)"|"SHORT SUBJECT (Comedy)"|"How to Sleep --  Jack Chertok, Producer"
"1935 (8th)"|"SHORT SUBJECT (Novelty)"|"Wings over Mt. Everest --  Gaumont British and Skibo Productions"
"1935 (8th)"|"SOUND RECORDING"|"Naughty Marietta --  Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
"1935 (8th)"|"WRITING (Original Story)"|"The Scoundrel  -- Ben Hecht, Charles MacArthur"
"1935 (8th)"|"WRITING (Screenplay)"|"The Informer  -- Dudley Nichols"
"1935 (8th)"|"SPECIAL AWARD"|"To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film. [Film]"
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen. [Lenses and Filters]"
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation, and the application of the method to all negative and print processing of the entire product of a major producing company. [Laboratory]"
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To WILLIAM A. MUELLER of Warner Bros.-First National Studio Sound Department for his method of dubbing, in which the level of the dialogue automatically controls the level of the accompanying music and sound effects. [Sound]"
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To MOLE-RICHARDSON COMPANY for their development of the \"Solar-spot\" spot lamps. [Lighting]"
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To DOUGLAS SHEARER and METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for their automatic control system for cameras and sound recording machines and auxiliary stage equipment. [Stage Operations]"
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To ELECTRICAL RESEARCH PRODUCTS, INC. for their study and development of equipment to analyze and measure flutter resulting from the travel of the film through the mechanisms used in the recording and reproduction of sound. [Sound]"
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To PARAMOUNT PRODUCTIONS, INC. for the design and construction of the Paramount transparency air turbine developing machine. [Laboratory]"
"1935 (8th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To NATHAN LEVINSON, Director of Sound Recording for Warner Bros.-First National Studio, for the method of intercutting variable density and variable area sound tracks to secure an increase in the effective volume range of sound recorded for motion pictures. [Sound]"
"1936 (9th)"|"ACTOR"|"Paul Muni -- The Story of Louis Pasteur  {\"Louis Pasteur\"}"
"1936 (9th)"|"ACTOR IN A SUPPORTING ROLE"|"Walter Brennan -- Come and Get It  {\"Swan Bostrom\"}"
"1936 (9th)"|"ACTRESS"|"Luise Rainer -- The Great Ziegfeld  {\"Anna Held\"}"
"1936 (9th)"|"ACTRESS IN A SUPPORTING ROLE"|"Gale Sondergaard -- Anthony Adverse  {\"Faith Paleologue\"}"
"1936 (9th)"|"ART DIRECTION"|"Dodsworth  -- Richard Day"
"1936 (9th)"|"ASSISTANT DIRECTOR"|"The Charge of the Light Brigade  -- Jack Sullivan"
"1936 (9th)"|"CINEMATOGRAPHY"|"Anthony Adverse  -- Gaetano Gaudio"
"1936 (9th)"|"DANCE DIRECTION"|"Seymour Felix -- \"A Pretty Girl Is Like a Melody\" number from The Great Ziegfeld"
"1936 (9th)"|"DIRECTING"|"Mr. Deeds Goes to Town  -- Frank Capra"
"1936 (9th)"|"FILM EDITING"|"Anthony Adverse  -- Ralph Dawson"
"1936 (9th)"|"MUSIC (Scoring)"|"Anthony Adverse --  Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Erich Wolfgang Korngold)"
"1936 (9th)"|"MUSIC (Song)"|"\"The Way You Look Tonight\" from Swing Time  -- Music by Jerome Kern; Lyrics by Dorothy Fields"
"1936 (9th)"|"OUTSTANDING PRODUCTION"|"The Great Ziegfeld  -- Metro-Goldwyn-Mayer"
"1936 (9th)"|"SHORT SUBJECT (Cartoon)"|"The Country Cousin --  Walt Disney, Producer"
"1936 (9th)"|"SHORT SUBJECT (Color)"|"Give Me Liberty --  Warner Bros."
"1936 (9th)"|"SHORT SUBJECT (One-reel)"|"Bored of Education --  Hal Roach, Producer"
"1936 (9th)"|"SHORT SUBJECT (Two-reel)"|"The Public Pays --  Metro-Goldwyn-Mayer"
"1936 (9th)"|"SOUND RECORDING"|"San Francisco --  Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
"1936 (9th)"|"WRITING (Original Story)"|"The Story of Louis Pasteur  -- Pierre Collings, Sheridan Gibney"
"1936 (9th)"|"WRITING (Screenplay)"|"The Story of Louis Pasteur  -- Pierre Collings, Sheridan Gibney"
"1936 (9th)"|"SPECIAL AWARD"|"To The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel."
"1936 (9th)"|"SPECIAL AWARD"|"To W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production, The Garden of Allah."
"1936 (9th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class I)"|"To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for the development of a practical two-way horn system and a biased Class A push-pull recording system. [Sound]"
"1936 (9th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To E. C. WENTE and the BELL TELEPHONE LABORATORIES for their multi-cellular high-frequency horn and receiver. [Sound]"
"1936 (9th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To RCA MANUFACTURING CO., INC., for their rotary stabilizer sound head. [Sound]"
"1936 (9th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To RCA MANUFACTURING CO., INC., for their development of a method of recording and printing sound records utilizing a restricted spectrum (known as ultra-violet light recording). [Sound]"
"1936 (9th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To ELECTRICAL RESEARCH PRODUCTS, INC. for the ERPI \"Type Q\" portable recording channel. [Sound]"
"1936 (9th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To RCA MANUFACTURING CO., INC., for furnishing a practical design and specifications for a non-slip printer. [Laboratory]"
"1936 (9th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To UNITED ARTISTS STUDIO CORP. for the development of a practical, efficient and quiet wind machine. [Stage Operations]"
"1937 (10th)"|"ACTOR"|"Spencer Tracy -- Captains Courageous  {\"Manuel\"}"
"1937 (10th)"|"ACTOR IN A SUPPORTING ROLE"|"Joseph Schildkraut -- The Life of Emile Zola  {\"Captain Alfred Dreyfus\"}"
"1937 (10th)"|"ACTRESS"|"Luise Rainer -- The Good Earth  {\"O-Lan\"}"
"1937 (10th)"|"ACTRESS IN A SUPPORTING ROLE"|"Alice Brady -- In Old Chicago  {\"Molly O'Leary\"}"
"1937 (10th)"|"ART DIRECTION"|"Lost Horizon  -- Stephen Goosson"
"1937 (10th)"|"ASSISTANT DIRECTOR"|"In Old Chicago  -- Robert Webb"
"1937 (10th)"|"CINEMATOGRAPHY"|"The Good Earth  -- Karl Freund"
"1937 (10th)"|"DANCE DIRECTION"|"Hermes Pan -- \"Fun House\" number from A Damsel in Distress"
"1937 (10th)"|"DIRECTING"|"The Awful Truth  -- Leo McCarey"
"1937 (10th)"|"FILM EDITING"|"Lost Horizon  -- Gene Havlick, Gene Milford"
"1937 (10th)"|"MUSIC (Scoring)"|"One Hundred Men and a Girl --  Universal Studio Music Department, Charles Previn, head of department (no composer credit)"
"1937 (10th)"|"MUSIC (Song)"|"\"Sweet Leilani\" from Waikiki Wedding  -- Music and Lyrics by Harry Owens"
"1937 (10th)"|"OUTSTANDING PRODUCTION"|"The Life of Emile Zola  -- Warner Bros."
"1937 (10th)"|"SHORT SUBJECT (Cartoon)"|"The Old Mill --  Walt Disney, Producer"
"1937 (10th)"|"SHORT SUBJECT (Color)"|"Penny Wisdom --  Pete Smith, Producer"
"1937 (10th)"|"SHORT SUBJECT (One-reel)"|"The Private Life of the Gannets --  Skibo Productions"
"1937 (10th)"|"SHORT SUBJECT (Two-reel)"|"Torture Money --  Metro-Goldwyn-Mayer"
"1937 (10th)"|"SOUND RECORDING"|"The Hurricane --  United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
"1937 (10th)"|"WRITING (Screenplay)"|"The Life of Emile Zola  -- Norman Reilly Raine, Heinz Herald, Geza Herczeg"
"1937 (10th)"|"SPECIAL AWARD"|"To Mack Sennett, \"for his lasting contribution to the comedy technique of the screen, the basic principles of which are as important today as when they were first put into practice, the Academy presents a Special Award to that master of fun, discoverer of stars, sympathetic, kindly, understanding comedy genius - Mack Sennett.\""
"1937 (10th)"|"SPECIAL AWARD"|"To Edgar Bergen for his outstanding comedy creation, \"Charlie McCarthy.\""
"1937 (10th)"|"SPECIAL AWARD"|"To The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts."
"1937 (10th)"|"SPECIAL AWARD"|"To W. Howard Greene for the color photography of A Star Is Born. (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.)"
"1937 (10th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Darryl F. Zanuck"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class I)"|"To AGFA ANSCO CORPORATION for Agfa Supreme and Agfa Ultra Speed pan motion picture negatives. [Film]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To WALT DISNEY PRODUCTIONS, LTD. for the design and application to production of the Multi-Plane Camera. [Cartoon Process]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To EASTMAN KODAK COMPANY for two fine-grain duplicating film stocks. [Film]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To FARCIOT EDOUART and PARAMOUNT PICTURES, INC. for the development of the Paramount dual screen transparency camera setup. [Special Photographic]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class II)"|"To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for a method of varying the scanning width of variable density sound tracks (squeeze tracks) for the purpose of obtaining an increased amount of noise reduction. [Sound]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To JOHN ARNOLD and the METRO-GOLDWYN-MAYER STUDIO CAMERA DEPARTMENT for their improvement of the semi-automatic follow focus device and its application to all of the cameras used by the Metro-Goldwyn-Mayer Studio. [Photography]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To JOHN LIVADARY, Director of Sound Recording for Columbia Pictures Corporation, for the application of the bi-planar light valve to motion picture sound recording. [Sound]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To THOMAS T. MOULTON and the UNITED ARTISTS STUDIO SOUND DEPARTMENT for the application to motion picture sound recording of volume indicators which have peak reading response and linear decibel scales. [Sound]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To RCA MANUFACTURING CO., INC. for the introduction of the modulated high-frequency method of determining optimum photographic processing conditions for variable width sound tracks. [Laboratory]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To JOSEPH E. ROBBINS and PARAMOUNT PICTURES, INC. for an exceptional application of acoustic principles to the sound proofing of gasoline generators and water pumps. [Stage Operations]"
"1937 (10th)"|"SCIENTIFIC OR TECHNICAL AWARD (Class III)"|"To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for the design of the film drive mechanism as incorporated in the ERPI 1010 reproducer. [Sound]"
"1938 (11th)"|"ACTOR"|"Spencer Tracy -- Boys Town  {\"Father Flanagan\"}"
"1938 (11th)"|"ACTOR IN A SUPPORTING ROLE"|"Walter Brennan -- Kentucky  {\"Peter Goodwin\"}"
"1938 (11th)"|"ACTRESS"|"Bette Davis -- Jezebel  {\"Julie Morrison\"}"
"1938 (11th)"|"ACTRESS IN A SUPPORTING ROLE"|"Fay Bainter -- Jezebel  {\"Aunt Belle Massey\"}"
"1938 (11th)"|"ART DIRECTION"|"The Adventures of Robin Hood  -- Carl J. Weyl"
"1938 (11th)"|"CINEMATOGRAPHY"|"The Great Waltz  -- Joseph Ruttenberg"
"1938 (11th)"|"DIRECTING"|"You Can't Take It with You  -- Frank Capra"
"1938 (11th)"|"FILM EDITING"|"The Adventures of Robin Hood  -- Ralph Dawson"
"1938 (11th)"|"MUSIC (Original Score)"|"The Adventures of Robin Hood --  Erich Wolfgang Korngold"
"1938 (11th)"|"MUSIC (Scoring)"|"Alexander's Ragtime Band --  Alfred Newman"
"1938 (11th)"|"MUSIC (Song)"|"\"Thanks For The Memory\" from The Big Broadcast of 1938  -- Music by Ralph Rainger; Lyrics by Leo Robin"
"1938 (11th)"|"OUTSTANDING PRODUCTION"|"You Can't Take It with You  -- Columbia"
"1938 (11th)"|"SHORT SUBJECT (Cartoon)"|"Ferdinand the Bull --  Walt Disney, Producer"
"1938 (11th)"|"SHORT SUBJECT (One-reel)"|"That Mothers Might Live --  Metro-Goldwyn-Mayer"
"1938 (11th)"|"SHORT SUBJECT (Two-reel)"|"Declaration of Independence --  Warner Bros."
"1938 (11th)"|"SOUND RECORDING"|"The Cowboy and the Lady --  United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
"1938 (11th)"|"WRITING (Original Story)"|"Boys Town  -- Dore Schary, Eleanore Griffin"
"1938 (11th)"|"WRITING (Screenplay)"|"Pygmalion  -- Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple"
"1938 (11th)"|"SPECIAL AWARD"|"To Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth, and as juvenile players setting a high standard of ability and achievement."
"1938 (11th)"|"SPECIAL AWARD"|"To Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty."
"1938 (11th)"|"SPECIAL AWARD"|"To Walt Disney for Snow White and the Seven Dwarfs, recognized as a significant screen innovation which has charmed millions and pioneered a great new entertainment field for the motion picture cartoon."
"1938 (11th)"|"SPECIAL AWARD"|"To Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production, Sweethearts."
"1938 (11th)"|"SPECIAL AWARD"|"For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production, Spawn of the North. Special Effects by Gordon Jennings, assisted by Jan Domela, Dev Jennings, Irmin Roberts and Art Smith. Transparencies by Farciot Edouart, assisted by Loyal Griggs. Sound Effects by Loren Ryder, assisted by Harry Mills, Louis H. Mesenkop and Walter Oberst."
"1938 (11th)"|"SPECIAL AWARD"|"To J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography."
